roc_auc,ap_pcos,ap_control,baseline_ap_pcos,baseline_ap_control,balanced_accuracy,sensitivity,specificity,mcc,brier,log_loss,bootstrap
1.0,1.0,1.0,0.966190833959429,0.033809166040571,1.0,1.0,1.0,1.0,9.262160826777503e-09,5.1451836588660034e-05,0
1.0,1.0,1.0,0.966190833959429,0.033809166040571,1.0,1.0,1.0,1.0,1.1418403719961673e-08,5.274234113154382e-05,1
1.0,1.0,1.0,0.966190833959429,0.033809166040571,1.0,1.0,1.0,1.0,9.203469459486208e-09,5.1068268107479305e-05,2
0.9992223950233281,0.9999737098242297,0.9252523055325923,0.966190833959429,0.033809166040571,0.999611197511664,0.9992223950233281,1.0,0.9886860821537644,0.0007513245546728318,0.027130904593383135,3
1.0,1.0,1.0,0.966190833959429,0.033809166040571,1.0,1.0,1.0,1.0,1.0610301240445293e-08,5.138514265618201e-05,4
1.0,1.0,1.0,0.966190833959429,0.033809166040571,1.0,1.0,1.0,1.0,9.370809268872684e-09,5.1084546903252267e-05,5
1.0,1.0,1.0000000000000002,0.966190833959429,0.033809166040571,1.0,1.0,1.0,1.0,1.140482815426504e-08,5.206125442420906e-05,6
1.0,1.0,1.0,0.966190833959429,0.033809166040571,1.0,1.0,1.0,1.0,9.902184279203519e-09,5.149769655492364e-05,7
1.0,1.0,1.0,0.966190833959429,0.033809166040571,1.0,1.0,1.0,1.0,8.553778676700844e-09,5.1100308976280964e-05,8
0.9992223950233281,0.9999737098242297,0.9244602671425146,0.966190833959429,0.033809166040571,0.999611197511664,0.9992223950233281,1.0,0.9886860821537644,0.0007513241479060598,0.02713133671934491,9
